property_id,location,price_DZD,area,property_type,rooms,schools_nearby,hospitals_nearby,parks_nearby,public_transport_score
H0172,El Oued,24165606,50,studio,5,0,0,1,10
H0173,Bechar,20956211,164,studio,1,0,0,1,8
H0174,Bordj Badji Mokhtar,25228708,200,house,6,3,2,0,2
H0175,Djelfa,26357280,146,apartment,3,0,2,2,7
H0176,Saida,4434851,45,apartment,1,2,1,2,2
H0177,El Bayadh,13324005,82,duplex,5,0,2,1,7
H0178,Ain Temouchent,4343159,70,villa,4,1,0,0,5
H0179,Annaba,14635642,241,apartment,4,2,1,0,1
H0180,Tebessa,12423567,177,apartment,5,0,1,2,7
H0181,Ain Defla,9524719,109,house,4,3,0,0,9
H0182,In Salah,28724420,188,house,2,1,0,0,5
H0183,El Bayadh,8737265,61,villa,2,0,2,1,1
H0184,Bordj Bou Arreridj,10577473,199,house,8,0,2,1,2
H0185,Tipaza,23333015,196,villa,2,0,2,1,3
H0186,Setif,22394830,191,apartment,4,1,1,0,5
H0187,Tindouf,26277679,202,apartment,1,3,2,1,7
H0188,El Oued,29668272,58,house,8,1,0,0,7
H0189,Oum El Bouaghi,4819643,48,house,2,3,0,2,5
H0190,Ain Temouchent,23332465,183,villa,2,1,0,0,6
H0191,Illizi,18185546,175,duplex,3,2,1,0,3
H0192,Oran,13353771,116,villa,1,0,1,1,6
H0193,Bordj Bou Arreridj,8669812,192,studio,5,3,1,0,1
H0194,Bejaia,7019382,115,duplex,4,3,0,0,5
H0195,Mascara,12482715,83,house,8,0,2,0,9
H0196,Batna,7057613,203,apartment,4,0,0,0,1
H0197,Bechar,14970291,89,apartment,5,1,0,1,9
H0198,Mostaganem,13132058,87,house,3,2,1,1,2
H0199,Bechar,16380635,203,villa,1,3,2,1,7
H0200,Blida,7331892,132,apartment,8,0,2,1,5
