client_id,preferred_location,min_budget_DZD,max_budget_DZD,min_area,max_area,preferred_property_type,marital_status,has_kids,weight_location,weight_property_type,preferred_rooms,weight_rooms,preferred_schools_nearby,weight_schools_nearby,preferred_hospitals_nearby,weight_hospitals_nearby,preferred_parks_nearby,weight_parks_nearby,preferred_public_transport_score,weight_public_transport_score
CLT0016,Bejaia,9149385,16614383,78,119,studio,married,False,0.18,0.26,2,0.1,3,0.42,3,0.41,3,0.78,1,0.31
CLT0017,El Mghair,8375856,13561494,54,75,villa,married,False,0.3,0.89,4,0.72,5,0.2,5,0.82,2,0.27,0,0.88
CLT0018,El Oued,6388058,9603179,81,172,apartment,divorced,True,0.52,0.9,5,0.58,5,0.84,4,0.9,0,0.81,9,0.68
CLT0019,Djelfa,7153247,14165786,69,146,studio,married,True,0.43,0.3,1,0.27,1,0.17,1,0.85,5,0.53,2,0.34
CLT0020,Algiers,5235900,9081256,80,142,studio,single,True,0.29,0.23,4,0.08,3,0.96,0,0.67,1,0.05,10,0.54
CLT0021,Tiaret,8580079,14191527,83,97,apartment,divorced,True,0.61,0.41,2,0.09,4,0.42,2,0.14,5,0.46,4,0.84
CLT0022,Tizi Ouzou,5857222,9864304,51,127,villa,married,True,0.14,0.24,5,0.89,0,0.85,4,0.28,0,0.94,0,0.88
CLT0023,Tlemcen,10874090,17094230,62,153,apartment,single,True,0.29,0.67,4,0.19,3,0.63,1,0.05,0,0.89,3,0.16
CLT0024,Tissemsilt,11009193,16625735,68,148,apartment,married,False,0.37,0.83,1,0.32,1,0.74,3,0.93,0,0.1,7,0.34
CLT0025,El Mghair,11961745,19924705,86,178,apartment,divorced,False,0.46,0.67,1,0.23,5,0.77,1,0.66,3,0.74,5,0.34
CLT0026,Ghardaia,5990481,13177365,51,61,studio,single,False,0.79,0.82,3,0.35,4,0.5,4,0.75,4,0.81,0,0.04
CLT0027,Saida,8239196,13805428,73,101,apartment,married,False,0.2,0.4,3,0.07,3,0.54,4,0.31,2,0.27,0,0.6
CLT0028,Bejaia,5544198,6779136,85,158,studio,single,True,0.51,0.16,2,0.52,0,0.51,5,0.85,3,0.47,2,0.85
CLT0029,Djanet,5874477,12995600,63,97,studio,single,False,0.59,0.74,4,0.07,0,0.59,5,0.26,3,0.71,9,0.38
CLT0030,Adrar,9655516,16911737,77,139,villa,married,True,0.05,0.36,4,0.8,2,0.03,1,0.0,4,0.44,7,0.74
CLT0031,Mostaganem,6168781,11360219,71,152,studio,single,True,0.61,0.67,3,0.23,2,0.4,3,0.38,3,0.11,10,0.63
CLT0032,Medea,10781576,16462973,65,101,studio,married,False,0.17,0.27,4,0.54,1,0.61,1,0.57,0,0.71,10,0.38
CLT0033,Souk Ahras,8012433,9959110,59,151,villa,single,False,0.07,0.08,4,0.88,3,0.6,4,0.48,0,0.91,7,0.14
CLT0034,Mascara,10014788,11977814,50,63,villa,divorced,True,0.95,0.99,1,0.65,3,0.79,4,0.86,5,0.65,2,0.71
CLT0035,Mila,6083300,13687857,91,115,studio,married,True,0.97,0.16,3,0.53,5,0.66,2,0.11,1,0.77,6,0.85
CLT0036,Djelfa,5742584,7453201,54,82,villa,single,False,0.81,0.99,5,0.32,5,0.99,5,0.55,3,0.36,2,0.69
CLT0037,Djanet,10945160,15804378,78,132,studio,single,False,0.3,0.98,3,0.33,5,0.28,2,0.51,1,0.18,3,0.02
CLT0038,Ouled Djellal,6078639,11805225,77,116,villa,single,False,0.1,0.79,5,0.67,2,0.36,0,0.28,2,0.64,8,0.22
CLT0039,Ain Temouchent,5448682,11379353,94,170,studio,married,False,0.68,0.66,1,0.99,3,0.38,4,0.82,0,0.33,3,0.07
CLT0040,Mila,7756097,15624694,56,75,apartment,single,True,0.44,0.58,2,0.66,3,0.47,2,0.75,5,0.86,2,0.57
CLT0041,Bordj Bou Arreridj,11286888,15243882,70,131,apartment,married,True,0.12,0.87,4,0.56,0,0.84,1,0.73,2,0.12,4,0.76
CLT0042,Djanet,9579845,11537139,73,136,studio,divorced,True,0.5,0.29,1,0.73,2,0.24,5,0.88,5,0.43,6,0.11
CLT0043,El Menia,6301455,8154277,56,90,villa,married,True,0.03,0.47,4,0.47,4,0.78,5,0.72,4,0.4,4,0.84
CLT0044,Guelma,7256026,11243846,57,88,studio,single,False,0.91,0.62,2,0.06,2,0.41,3,0.23,0,0.94,3,0.56
CLT0045,Batna,7873542,11277786,57,102,villa,married,False,0.26,0.41,2,0.56,4,0.6,1,0.71,2,0.15,7,0.69
CLT0046,Sidi Bel Abbes,11179245,15429757,73,100,studio,divorced,True,0.66,0.43,1,0.96,0,0.63,3,0.31,4,0.01,3,0.97
CLT0047,Tissemsilt,8849149,16701481,76,146,villa,married,True,0.31,0.33,2,0.18,1,0.37,2,0.24,2,0.24,1,0.08
CLT0048,Tebessa,8711838,15214825,77,117,studio,single,True,0.52,0.56,5,0.69,3,0.51,0,0.07,5,0.82,9,0.9
CLT0049,Setif,11773614,19532205,77,104,apartment,married,True,0.55,0.85,2,0.2,0,0.41,1,0.74,4,0.21,5,0.13
CLT0050,El Mghair,8988101,16733406,51,67,studio,single,False,0.18,0.2,4,0.54,3,0.07,1,0.71,4,0.24,1,0.39
CLT0051,Laghouat,8415994,14721415,74,141,villa,divorced,True,0.97,0.93,4,0.1,5,0.44,1,0.23,0,0.13,2,0.85
CLT0052,Sidi Bel Abbes,8511409,11397348,66,111,villa,single,False,0.78,0.69,4,0.45,1,0.1,3,0.75,1,0.72,0,0.91
CLT0053,El Mghair,11027706,18166951,69,127,villa,single,False,0.94,0.82,4,0.76,1,0.41,2,0.92,5,0.07,4,0.51
CLT0054,Biskra,9939564,16915122,66,109,apartment,single,True,0.89,0.56,5,0.35,0,0.59,1,0.11,5,0.33,8,0.59
CLT0055,Tissemsilt,5955402,11243804,62,75,villa,divorced,True,0.6,0.78,3,0.66,1,0.58,1,0.23,4,0.28,1,0.71
CLT0056,Setif,6493927,8057893,93,113,apartment,single,False,0.92,0.02,1,0.8,4,0.66,5,0.75,4,0.56,6,0.83
CLT0057,El Tarf,8826167,11975828,95,178,apartment,divorced,False,0.09,0.82,4,0.93,1,0.1,0,0.27,0,0.73,4,0.12
CLT0058,Constantine,8626038,9651736,75,148,villa,married,True,0.2,0.04,2,0.23,3,0.65,5,0.62,1,0.53,1,0.81
CLT0059,Chlef,9574463,16416547,78,167,villa,divorced,True,0.05,0.89,4,0.4,3,0.31,5,0.08,5,0.93,7,0.48
CLT0060,In Guezzam,5876953,8126615,99,137,apartment,married,False,0.33,0.99,2,0.15,3,0.4,0,0.45,3,0.95,10,0.45
CLT0061,El Menia,5818461,7022353,64,151,studio,married,False,0.39,0.29,2,0.99,3,0.86,2,0.74,3,0.36,5,0.42
CLT0062,Bordj Badji Mokhtar,5958228,8456951,93,175,studio,divorced,True,0.27,0.21,4,0.93,4,0.01,5,0.69,1,0.78,3,0.51
CLT0063,Skikda,7637291,9359417,58,89,apartment,divorced,True,0.83,0.77,5,0.54,2,0.59,2,0.82,2,0.74,3,0.95
CLT0064,Oran,8698042,13833798,51,87,apartment,single,True,0.36,0.25,2,0.84,5,0.6,5,0.88,0,0.89,1,0.55
CLT0065,Tebessa,5521465,12504348,53,90,apartment,married,True,0.28,0.87,2,0.52,0,0.4,4,0.77,1,0.45,2,0.95
CLT0066,Ain Defla,8614040,11480606,58,86,villa,single,False,0.54,0.1,4,0.62,3,0.24,0,0.67,3,0.53,6,0.18
CLT0067,Tissemsilt,8121844,12079348,72,144,studio,single,False,0.14,0.13,2,0.09,1,0.23,5,0.03,4,0.42,2,0.72
CLT0068,Tebessa,6366309,9060590,98,196,villa,single,False,0.8,0.98,2,0.76,3,0.88,4,0.53,3,0.85,4,0.81
CLT0069,Tizi Ouzou,8940204,15075046,92,167,villa,single,False,0.07,0.67,4,0.13,1,0.44,3,0.04,4,0.23,9,0.68
CLT0070,Skikda,11298260,17694501,92,119,apartment,divorced,True,0.99,0.85,4,0.83,5,0.33,4,0.81,0,0.24,5,0.61
CLT0071,Annaba,11139810,12642958,79,138,villa,single,True,0.77,0.32,1,0.78,5,0.45,1,0.32,4,0.37,5,0.56
CLT0072,Khenchela,9143174,13985469,60,76,apartment,divorced,True,0.2,0.68,5,0.71,5,0.67,5,0.56,1,0.23,3,0.86
CLT0073,Algiers,6845985,9463151,94,135,studio,divorced,True,0.01,0.59,5,0.04,1,0.15,4,0.28,4,0.56,5,0.82
CLT0074,Saida,9140947,10210352,86,175,villa,single,False,0.82,0.6,2,0.3,3,0.45,2,0.78,2,0.13,2,0.12
CLT0075,Adrar,7635166,14520684,81,101,apartment,divorced,False,0.71,0.68,5,0.26,5,0.59,3,0.89,1,0.32,6,0.85
CLT0076,Laghouat,5640682,7941360,88,169,studio,divorced,True,0.73,0.58,2,0.36,4,0.95,5,0.4,0,0.91,6,0.41
CLT0077,Mascara,7344522,14367443,84,159,studio,divorced,False,0.77,0.43,1,0.09,1,0.25,1,0.86,1,0.41,3,0.25
CLT0078,Ouled Djellal,7303889,8781886,68,135,studio,married,False,0.07,0.28,4,0.94,1,0.36,4,0.27,2,0.75,1,0.87
CLT0079,Tamanrasset,11231940,14914323,59,100,villa,divorced,True,0.36,0.77,4,0.55,3,0.38,3,0.53,0,0.11,10,0.43
CLT0080,El Bayadh,5290985,9991825,69,158,villa,married,False,0.12,0.23,4,0.31,1,0.61,5,0.86,3,0.25,6,0.81
CLT0081,Djelfa,8470942,11657433,98,130,studio,divorced,True,0.86,0.69,5,0.4,1,0.36,3,0.33,2,0.81,2,0.26
CLT0082,Annaba,8522905,12808852,57,101,villa,married,False,0.62,0.23,1,0.45,5,0.53,1,0.95,0,0.76,0,0.0
CLT0083,El Mghair,10935587,13373876,74,96,apartment,married,True,0.33,0.63,5,0.6,3,0.78,4,0.12,4,0.39,1,0.5
CLT0084,Chlef,11061282,12346681,96,108,villa,single,False,0.06,0.75,5,0.52,5,0.71,3,0.02,1,0.95,9,0.1
CLT0085,Constantine,6640160,13906628,75,109,studio,divorced,True,0.31,0.22,1,0.92,5,0.45,3,0.9,0,0.91,8,0.75
CLT0086,Boumerdes,9315524,14940102,73,140,apartment,single,False,0.33,0.06,1,0.5,3,0.86,0,0.07,1,0.96,7,0.28
CLT0087,Tlemcen,8438599,14977533,92,106,apartment,married,True,0.73,0.13,1,0.99,0,0.56,3,0.99,4,0.43,5,0.44
CLT0088,In Salah,9833815,17047123,72,166,villa,single,False,0.64,0.61,1,0.85,5,0.54,0,0.95,0,0.2,5,0.09
CLT0089,Saida,11731514,19424544,83,116,villa,divorced,False,0.89,0.85,4,0.21,4,0.03,4,0.14,3,0.63,0,0.29
CLT0090,Naama,9082756,12203000,76,133,villa,divorced,True,0.47,0.04,3,0.93,4,0.99,5,0.54,2,0.68,1,0.78
CLT0091,Tissemsilt,8588662,13919181,99,194,villa,single,False,0.12,0.73,3,0.12,1,0.12,5,0.18,0,0.13,3,0.15
CLT0092,Khenchela,8783836,16447964,59,129,apartment,married,True,0.71,0.34,1,0.82,4,0.23,4,0.43,4,0.79,2,0.65
CLT0093,Batna,9086456,12583054,63,100,studio,divorced,True,0.76,0.48,3,0.38,1,0.05,4,0.06,0,0.02,0,0.92
CLT0094,Annaba,7966961,15834628,82,143,studio,married,True,0.56,0.93,3,0.88,0,0.64,2,0.22,1,0.48,7,0.68
CLT0095,Annaba,9176303,10397602,63,161,studio,married,False,0.77,0.33,1,0.87,3,0.22,4,0.36,5,0.33,6,0.81
CLT0096,Ain Defla,7227627,9078669,96,132,apartment,divorced,True,0.49,0.47,3,0.81,3,0.18,3,0.44,0,0.74,3,0.11
CLT0097,Naama,9142661,12589410,100,185,villa,single,False,0.52,0.01,5,0.79,3,0.09,5,0.98,3,0.31,8,0.25
CLT0098,Adrar,9445064,14435384,61,88,villa,divorced,True,0.43,0.08,2,0.3,4,0.1,1,0.81,0,0.83,10,0.89
CLT0099,Djelfa,10983227,18684757,58,157,studio,divorced,True,0.03,0.26,2,0.08,0,0.58,5,0.74,2,0.59,3,0.72
CLT0100,Souk Ahras,11479760,16861652,81,178,villa,married,True,0.11,0.03,1,0.4,4,0.69,0,0.54,0,0.79,0,0.64
CLT0101,In Guezzam,5616373,12332431,66,166,studio,divorced,False,0.03,0.63,4,0.17,4,0.4,5,0.84,5,0.99,9,0.66
CLT0102,Ouargla,10593467,15392825,50,68,villa,married,True,0.64,0.43,1,0.69,0,0.48,2,0.34,1,0.68,0,0.41
CLT0103,El Oued,11166357,18363863,82,168,villa,divorced,False,0.31,0.55,4,0.35,0,0.69,4,0.71,0,0.98,0,0.04
CLT0104,Mila,11762042,18797223,55,102,apartment,divorced,True,0.51,0.17,2,0.98,0,0.02,4,0.99,3,0.03,0,0.78
CLT0105,Relizane,9831213,14179505,84,171,apartment,married,False,0.91,0.3,1,0.64,0,0.32,5,0.31,4,0.34,3,0.68
CLT0106,El Mghair,6455762,7956581,75,142,apartment,married,False,0.25,0.66,5,0.82,3,0.97,1,0.67,0,0.11,0,0.47
CLT0107,Khenchela,11077465,12936076,91,186,studio,married,True,0.41,0.97,3,0.13,2,0.58,1,0.84,0,0.26,1,0.9
CLT0108,Ghardaia,10699652,14870336,100,118,apartment,single,False,0.76,0.05,4,0.86,2,0.25,2,0.92,2,0.84,3,0.34
CLT0109,Medea,6349332,8997597,99,147,villa,single,True,0.23,0.89,3,0.92,0,0.52,0,0.72,3,0.03,6,0.29
CLT0110,In Guezzam,9689733,17440746,69,137,villa,single,False,0.08,0.58,3,0.49,2,0.34,5,0.28,5,0.52,1,0.87
CLT0111,Bordj Badji Mokhtar,11248996,17999609,97,161,apartment,single,True,0.29,0.56,1,0.61,2,0.53,4,0.33,4,0.57,7,0.8
CLT0112,MSila,11435412,15117692,67,100,villa,divorced,True,0.16,0.5,3,0.76,0,0.13,5,0.02,1,0.56,6,0.51
CLT0113,Setif,7833830,9333262,64,89,apartment,divorced,False,0.93,0.07,5,0.17,2,0.13,2,0.76,0,0.48,8,0.13
CLT0114,Timimoun,11406623,16012199,91,191,villa,divorced,True,0.81,0.09,3,0.5,4,0.14,3,0.04,5,0.79,5,0.22
CLT0115,El Bayadh,9763159,15118601,62,113,villa,married,False,0.63,0.6,1,0.4,1,0.94,3,0.86,4,0.13,3,0.66
CLT0116,El Menia,11204187,15660887,81,140,studio,single,True,0.87,0.34,5,0.15,1,0.73,2,0.12,1,0.31,5,0.39
CLT0117,Oum El Bouaghi,11745282,14235626,60,126,apartment,single,True,0.8,0.92,2,0.37,0,0.16,4,0.17,5,0.62,3,0.84
CLT0118,MSila,9882621,15621714,87,183,apartment,divorced,False,0.19,0.41,3,0.07,3,0.19,2,0.48,3,0.69,6,0.95
CLT0119,Ghardaia,11569536,19277150,78,137,apartment,single,False,0.89,0.14,1,0.03,0,0.73,4,0.74,3,0.4,8,0.81
CLT0120,Oran,6903720,8992566,85,102,apartment,married,False,0.54,0.71,2,0.14,3,0.16,1,0.14,4,0.88,2,0.38
CLT0121,Mascara,7731052,14656654,90,128,villa,married,True,0.81,0.29,2,0.96,1,0.23,2,0.44,1,0.42,2,0.79
CLT0122,El Mghair,8146239,9927310,62,87,apartment,divorced,True,0.9,0.53,4,0.55,0,0.96,4,0.48,3,0.4,1,0.35
CLT0123,Djelfa,7222188,12313144,59,125,villa,single,False,0.32,0.7,5,0.97,5,0.26,2,0.21,4,0.04,0,0.17
CLT0124,Jijel,8030339,10076003,97,131,villa,married,False,0.11,0.9,3,0.43,4,0.66,2,0.12,3,0.55,0,0.03
CLT0125,Setif,11634818,14313302,78,153,villa,single,True,0.23,0.79,1,0.31,2,0.98,4,0.84,3,0.71,2,0.39
CLT0126,Relizane,9092690,17051701,51,125,villa,divorced,False,0.43,0.68,4,0.51,3,0.37,4,0.5,5,0.11,6,0.9
CLT0127,Biskra,5284923,9463890,61,161,studio,single,True,0.82,0.68,5,0.44,5,0.02,0,0.01,5,0.31,10,0.24
CLT0128,Mostaganem,6082232,10737099,82,105,apartment,divorced,False,0.86,0.95,4,0.11,2,0.24,2,0.8,3,0.78,8,0.21
CLT0129,Tipaza,8930052,11655072,82,127,studio,divorced,False,0.01,0.3,5,0.64,2,0.83,3,0.98,2,0.37,1,0.97
CLT0130,Touggourt,5334848,7827937,86,134,apartment,single,False,0.51,0.0,5,0.22,0,0.86,2,0.61,5,0.24,6,0.03
CLT0131,Mascara,6506603,10560883,70,155,studio,married,False,0.42,0.27,3,0.62,2,0.77,2,0.5,1,0.67,0,0.79
CLT0132,Jijel,11126942,12383917,92,184,villa,married,True,0.22,0.22,5,0.65,4,0.11,4,0.88,4,0.2,1,0.32
CLT0133,Bordj Bou Arreridj,11086280,18652259,51,126,apartment,married,False,0.12,0.66,4,0.15,5,0.8,2,0.95,4,0.9,5,0.04
CLT0134,Annaba,10211195,14045695,71,118,apartment,married,False,0.34,0.63,5,0.06,2,0.92,5,0.75,1,0.11,10,0.92
CLT0135,Tindouf,9999406,15355809,85,139,villa,single,False,0.94,0.59,3,0.78,0,0.6,2,0.45,1,0.71,4,0.14
CLT0136,Tipaza,5386766,8015842,65,161,villa,married,False,0.32,0.02,3,0.46,4,0.94,5,0.59,1,0.5,7,0.55
CLT0137,Tamanrasset,5557931,7544619,53,112,apartment,divorced,True,0.52,0.73,4,0.06,1,0.83,3,0.7,1,0.87,10,0.27
CLT0138,Illizi,7811209,11963820,84,126,villa,divorced,True,0.7,0.32,2,0.99,5,0.67,4,0.19,0,0.13,1,0.07
CLT0139,Djanet,10532280,15253185,69,146,villa,divorced,False,0.36,0.67,2,0.06,2,0.58,2,0.45,4,0.68,0,0.05
CLT0140,Adrar,6452412,9255168,95,188,studio,married,True,0.97,0.56,5,0.7,0,0.35,5,0.83,0,0.57,6,0.12
CLT0141,El Tarf,7365082,9441174,63,105,apartment,single,False,0.96,0.34,1,0.98,1,0.16,5,0.65,3,0.48,5,0.07
CLT0142,Tissemsilt,8997906,14680091,85,107,apartment,divorced,True,0.25,0.13,5,0.24,1,0.6,5,0.41,3,0.49,7,0.76
CLT0143,Touggourt,8025127,11808037,50,129,villa,single,False,0.5,0.09,4,0.14,3,0.32,1,0.66,4,0.72,10,0.49
CLT0144,Saida,11085842,12352579,100,172,apartment,divorced,False,0.3,0.83,4,0.12,4,0.87,0,0.12,3,0.94,7,0.34
CLT0145,Djanet,7461271,11904796,72,151,studio,single,True,0.28,0.92,4,0.3,2,0.99,3,0.4,1,0.09,1,0.42
CLT0146,Timimoun,10765860,14391722,84,110,apartment,divorced,True,0.04,0.65,4,0.1,0,0.75,2,0.79,0,0.02,7,0.93
CLT0147,Mila,11010101,15484553,91,183,studio,single,False,0.61,0.1,4,0.69,3,0.09,1,0.22,1,0.81,5,0.91
CLT0148,Oum El Bouaghi,10008505,15473731,80,126,apartment,married,False,0.5,0.4,3,0.06,4,0.29,2,0.19,3,0.11,8,0.72
CLT0149,Tipaza,10546968,14864391,72,120,studio,married,False,0.05,0.73,2,0.51,3,0.11,2,0.95,5,0.99,6,0.88
CLT0150,Constantine,7932870,10590458,64,142,studio,single,False,0.28,0.78,4,1.0,5,0.65,4,0.21,0,0.62,1,0.32
CLT0151,Skikda,6746873,8191355,58,123,studio,married,False,0.91,0.12,1,0.81,4,0.77,4,0.26,1,0.65,7,0.38
CLT0152,Tipaza,11943496,16060782,77,124,studio,divorced,False,0.24,0.0,1,0.62,4,0.93,4,0.97,4,0.2,8,0.61
CLT0153,Khenchela,7321994,10794063,99,124,apartment,divorced,True,0.14,0.71,1,0.31,2,0.44,1,0.73,1,0.24,6,0.62
CLT0154,Laghouat,5822428,12126335,63,157,villa,divorced,False,0.49,0.36,1,0.62,4,0.9,2,0.7,5,0.66,3,0.48
CLT0155,Ain Temouchent,6839344,10241325,99,151,apartment,divorced,False,0.99,0.25,3,0.53,3,0.88,0,0.85,3,0.91,8,0.4
CLT0156,Bordj Badji Mokhtar,6979403,8077715,94,185,apartment,married,True,0.24,0.01,1,0.43,4,0.32,3,0.12,0,0.98,3,0.99
CLT0157,Laghouat,8523966,10087016,72,164,villa,single,True,0.67,0.54,4,0.13,2,0.87,4,0.71,4,0.2,3,0.82
CLT0158,Guelma,7377495,12713603,70,156,studio,married,False,0.76,0.85,5,0.89,2,0.38,4,0.5,0,0.13,8,0.43
CLT0159,Tissemsilt,5198802,9267661,81,168,apartment,divorced,True,0.24,0.96,1,0.45,5,0.3,2,0.83,4,0.06,7,0.73
CLT0160,Khenchela,9342910,15273731,82,99,apartment,single,False,0.73,0.57,3,0.19,3,0.65,2,0.51,0,0.87,3,0.27
CLT0161,Illizi,7134268,8634084,68,163,studio,divorced,True,0.37,0.51,3,0.37,1,0.33,1,0.62,3,0.29,7,0.1
CLT0162,Ain Defla,9965270,17053293,60,155,studio,divorced,False,0.63,0.09,1,0.41,1,0.63,1,0.48,4,0.0,7,0.35
CLT0163,Setif,10464109,18412214,93,106,apartment,married,True,0.63,0.55,5,0.83,4,0.61,4,0.48,2,0.22,6,0.4
CLT0164,Ouargla,6879718,14706717,99,156,villa,single,False,0.54,0.38,1,0.73,5,0.56,2,0.77,0,0.34,9,0.02
CLT0165,Batna,10500891,12464723,50,65,apartment,divorced,False,0.09,0.61,3,0.77,0,0.38,0,0.63,0,0.99,5,0.81
CLT0166,Naama,5122239,8570271,71,112,apartment,married,True,0.84,0.39,2,0.01,4,0.55,3,0.63,1,0.52,7,0.36
CLT0167,Mascara,8864144,15429741,90,180,apartment,married,True,0.32,0.24,4,0.42,5,0.6,2,0.45,4,0.2,6,0.58
CLT0168,El Menia,10141435,15945566,84,178,studio,single,True,0.19,0.09,3,0.48,3,0.55,2,0.53,5,0.33,4,0.07
CLT0169,Ghardaia,10568170,17094875,62,72,villa,divorced,True,0.04,0.31,1,0.02,3,0.44,5,0.75,2,0.33,3,0.17
CLT0170,El Mghair,8946639,13107495,86,167,villa,married,False,0.59,0.1,4,0.26,3,0.01,1,0.83,3,0.02,1,0.89
CLT0171,Oran,8139773,14266754,83,164,apartment,divorced,True,0.68,0.18,1,0.76,3,0.59,3,0.7,1,0.14,10,0.61
CLT0172,El Tarf,10396877,16111820,66,147,apartment,divorced,False,0.02,0.99,1,0.14,3,0.17,4,0.92,2,0.7,7,0.95
CLT0173,Constantine,9050239,11103874,63,95,villa,married,True,0.51,0.44,2,0.54,5,0.64,2,0.82,4,0.12,8,1.0
CLT0174,In Guezzam,10211830,11424166,54,80,studio,married,True,0.23,0.53,4,0.22,5,0.76,4,0.56,2,0.23,3,0.37
CLT0175,Annaba,5323309,12281457,66,102,villa,divorced,False,0.65,0.87,4,0.01,2,0.5,2,0.67,0,0.35,3,0.3
CLT0176,Mascara,7043528,14089189,88,177,studio,married,True,0.17,1.0,2,0.24,1,0.54,4,0.93,0,0.76,4,0.86
CLT0177,Mascara,5661735,7142551,89,133,villa,married,False,0.69,0.58,3,0.98,3,0.95,3,0.62,1,0.58,1,1.0
CLT0178,Saida,10462463,15721046,94,130,villa,divorced,False,0.39,0.81,1,0.8,0,0.85,1,0.82,4,0.69,6,0.63
CLT0179,Tipaza,6130384,7353972,71,102,villa,married,True,0.94,0.33,5,0.96,5,0.91,3,0.69,4,0.57,4,0.8
CLT0180,Medea,9363402,15776950,50,90,villa,married,True,0.14,0.31,1,0.49,0,0.81,5,0.55,2,0.68,5,0.78
CLT0181,Sidi Bel Abbes,7975960,10792758,71,108,apartment,married,False,0.34,0.4,1,0.11,0,0.11,0,0.24,1,0.0,3,0.36
CLT0182,Adrar,11158990,16041595,51,106,apartment,single,True,0.11,0.67,3,0.55,0,0.15,1,0.43,4,0.93,7,0.57
CLT0183,Bechar,8102763,15378414,50,67,apartment,married,True,0.92,0.68,1,0.45,2,0.53,3,0.97,5,0.11,7,0.83
CLT0184,Naama,11111373,18735024,60,113,villa,married,False,0.88,0.32,2,0.84,5,0.25,5,0.66,5,0.41,4,0.69
CLT0185,Naama,6048604,13317828,70,153,studio,divorced,False,0.26,0.13,2,0.1,0,0.48,0,0.56,0,0.77,5,0.02
CLT0186,Relizane,6017852,7400476,54,102,studio,single,True,0.66,0.63,4,0.49,3,0.39,5,0.93,2,0.44,2,0.34
CLT0187,El Oued,10330247,11759249,84,100,studio,married,True,0.82,0.13,5,0.15,4,0.55,2,0.59,3,0.95,0,0.14
CLT0188,Tissemsilt,10157753,17979157,79,156,apartment,divorced,False,0.56,0.58,1,0.32,0,0.75,2,0.53,0,0.47,8,0.23
CLT0189,Batna,7080180,12689330,70,113,apartment,married,False,0.53,0.69,1,0.74,2,0.72,4,0.76,1,0.87,8,0.91
CLT0190,Blida,5866263,8654356,82,112,villa,divorced,True,0.24,0.7,3,0.48,5,0.52,1,0.71,4,0.81,2,0.04
CLT0191,Jijel,8880631,16625030,71,91,studio,single,False,0.09,0.75,2,0.38,2,0.82,2,0.19,0,0.98,3,0.22
CLT0192,Adrar,9218044,14484848,73,95,villa,divorced,False,0.9,0.87,5,0.39,0,0.43,5,0.47,3,0.93,6,0.31
CLT0193,Batna,7612763,11822482,67,79,villa,divorced,True,0.9,0.5,4,0.46,5,0.9,1,0.47,3,0.9,1,0.62
CLT0194,Jijel,7893785,11595668,66,115,villa,single,True,0.63,0.73,2,0.79,4,0.07,2,0.38,5,0.73,2,0.53
CLT0195,Ouargla,9609150,16541453,86,178,villa,single,True,0.34,0.62,4,0.89,0,0.95,4,0.52,1,0.37,5,0.22
